[0.002s][info][metaspace]  - commit_granule_bytes: 65536.
[15.052s][info][gc             ] GC(18) Pause Young (Allocation Failure) 329M->24M(484M) 15.347ms
[15.052s][info][gc,cpu         ] GC(18) User=0.03s Sys=0.00s Real=0.02s
[16.236s][info][gc,start       ] GC(19) Pause Young (Allocation Failure)
[16.245s][info][gc,heap        ] GC(19) PSYoungGen: 317706K(321024K)->9226K(318976K) Eden: 309248K(309248K)->0K(309248K) From: 8458K(11776K)->9226K(9728K)
[16.245s][info][gc,heap        ] GC(19) ParOldGen: 16581K(175104K)->16611K(175104K)
[16.245s][info][gc,metaspace   ] GC(19) Metaspace: 27059K(27200K)->27059K(27200K) NonClass: 24928K(25024K)->24928K(25024K) Class: 2130K(2176K)->2130K(2176K)
[16.245s][info][gc             ] GC(19) Pause Young (Allocation Failure) 326M->25M(482M) 8.580ms
[16.245s][info][gc,cpu         ] GC(19) User=0.02s Sys=0.00s Real=0.01s
[17.351s][info][gc,start       ] GC(20) Pause Young (Allocation Failure)
[17.361s][info][gc,heap        ] GC(20) PSYoungGen: 318474K(318976K)->7562K(321024K) Eden: 309248K(309248K)->0K(308224K) From: 9226K(9728K)->7562K(12800K)
[17.361s][info][gc,heap        ] GC(20) ParOldGen: 16611K(175104K)->16640K(175104K)
[17.361s][info][gc,metaspace   ] GC(20) Metaspace: 27113K(27264K)->27113K(27264K) NonClass: 24983K(25088K)->24983K(25088K) Class: 2130K(2176K)->2130K(2176K)
[17.361s][info][gc             ] GC(20) Pause Young (Allocation Failure) 327M->23M(484M) 10.143ms
[17.361s][info][gc,cpu         ] GC(20) User=0.02s Sys=0.00s Real=0.01s
[18.449s][info][gc,start       ] GC(21) Pause Young (Allocation Failure)
[18.460s][info][gc,heap        ] GC(21) PSYoungGen: 315786K(321024K)->10623K(318976K) Eden: 308224K(308224K)->0K(308224K) From: 7562K(12800K)->10623K(10752K)
[18.460s][info][gc,heap        ] GC(21) ParOldGen: 16640K(175104K)->16664K(175104K)
[18.460s][info][gc,metaspace   ] GC(21) Metaspace: 27479K(27584K)->27479K(27584K) NonClass: 25348K(25408K)->25348K(25408K) Class: 2131K(2176K)->2131K(2176K)
[18.460s][info][gc             ] GC(21) Pause Young (Allocation Failure) 324M->26M(482M) 10.852ms
[18.460s][info][gc,cpu         ] GC(21) User=0.02s Sys=0.00s Real=0.01s
[19.526s][info][gc,start       ] GC(22) Pause Young (Allocation Failure)
[19.538s][info][gc,heap        ] GC(22) PSYoungGen: 318847K(318976K)->11342K(317952K) Eden: 308224K(308224K)->0K(304128K) From: 10623K(10752K)->11342K(13824K)
[19.538s][info][gc,heap        ] GC(22) ParOldGen: 16664K(175104K)->16688K(175104K)
[19.538s][info][gc,metaspace   ] GC(22) Metaspace: 27672K(27776K)->27672K(27776K) NonClass: 25541K(25600K)->25541K(25600K) Class: 2131K(2176K)->2131K(2176K)
[19.538s][info][gc             ] GC(22) Pause Young (Allocation Failure) 327M->27M(481M) 12.168ms
[19.538s][info][gc,cpu         ] GC(22) User=0.02s Sys=0.00s Real=0.01s
[20.287s][info][gc,heap,exit   ] Heap
[20.287s][info][gc,heap,exit   ]  PSYoungGen      total 317952K, used 256010K [0x00000000eba00000, 0x0000000100000000, 0x0000000100000000)
[20.287s][info][gc,heap,exit   ]   eden space 304128K, 80% used [0x00000000eba00000,0x00000000fa8eed90,0x00000000fe300000)
[20.287s][info][gc,heap,exit   ]   from space 13824K, 82% used [0x00000000ff280000,0x00000000ffd93be8,0x0000000100000000)
[20.287s][info][gc,heap,exit   ]   to   space 14848K, 0% used [0x00000000fe300000,0x00000000fe300000,0x00000000ff180000)
[20.287s][info][gc,heap,exit   ]  ParOldGen       total 175104K, used 16688K [0x00000000c2e00000, 0x00000000cd900000, 0x00000000eba00000)
[20.287s][info][gc,heap,exit   ]   object space 175104K, 9% used [0x00000000c2e00000,0x00000000c3e4c258,0x00000000cd900000)
[20.287s][info][gc,heap,exit   ]  Metaspace       used 27689K, committed 27776K, reserved 1114112K
[20.287s][info][gc,heap,exit   ]   class space    used 2131K, committed 2176K, reserved 1048576K
